title,price,Name:,Yacht Type:,"Series, Model, Class:",Builder:,Length Overall:,Length at Waterline:,Beam:,Max Draught:,Gross Tonnage:,Displacement Tonnage:,Year of Build:,Hull Type:,Number of Decks:,Classification:,Max Speed:,Cruising Speed:,Fuel Capacity:,Range:,V1,Engine Make:,Total power:,Hull:,Superstructure:,Deck:,Guests:,Passenger Rooms:,Master Rooms:,Double Rooms: ,Twin Rooms:,Yacht Subtype:,Interior Designer:,Refits:,Hull Number:,Water Capacity:,Naval Architect:,Exterior Designer:,VIP Rooms:,Build time:
ENMER for sale,"€1,950,000",ENMER,Motor Yacht,XSV20,Safehaven Marine ,23  metres,NA,5.4  metres,1.3  metres,NA,27,2019,Deep V / Planing,2,NA,44  kn,25  kn,6000  litres,350  nm,@ 36  kn,Caterpillar ,2300hp ,Carbon Fibre,Carbon Fibre,Carbon Fibre,6,2,NA,NA,NA,"Sports/Open Motor Yacht, Planing Fast Yacht ",Jack Setton ,NA,XSV20/2,480  litres,NA,NA,NA,NA
KAWAI for sale,"€3,200,000",KAWAI,Motor Yacht,Mangusta 92 Open HT,Overmarine ,28.3  metres,22.97  metres,6.6  metres,1.6  metres,130,75,2010,Deep V / Planing,2,BV,37  kn,34  kn,8800  litres,280  nm,@ 32  kn,MTU ,NA,GRP,GRP,Teak,6,3,1,1,1,"Sports/Open Motor Yacht, Planing Fast Yacht ",NA,NA,NA,1400  litres,Overmarine ,Stefano Righini ,NA,NA
TOAD for sale,POA,TOAD,Sail Yacht,70,Oyster ,21.14  metres,17.68  metres,5.26  metres,2.77  metres,NA,41,1996,Monohull,NA,NA,10  kn,9  kn,2000  litres,NA,NA,Perkins Sabre ,225hp ,GRP,GRP,Teak,8,4,1,1,2,Monohull ,NA,"1998-01-01,2014-01-01",NA,1817  litres,Holman & Pye ,Holman & Pye ,NA,NA
KARIANNA for sale,"€25,000,000",KARIANNA,Motor Yacht,NA,Benetti ,54  metres,47  metres,9.2  metres,2.9  metres,710,615,2016,Full Displacement,3,ABS,17  kn,15  kn,73700  litres,4000  nm,@ 15  kn,Caterpillar ,4734hp ,Steel,Aluminium,Teak,12,6,1,3,1,Displacement ,Francois Zuretti ,NA,FB 258,15190  litres,Benetti ,Benetti ,NA,NA
ARES for sale,"€4,300,000",ARES,Motor Yacht,Mangusta 108,Overmarine ,33.5  metres,28.57  metres,7.12  metres,1.3  metres,163,105,2005,Deep V / Planing,2,BV | RINA,38  kn,32  kn,14000  litres,400  nm,@ 32  kn,MTU ,5550hp ,GRP,GRP,Teak,8,4,1,1,1,Sports/Open Motor Yacht ,Overmarine ,NA,108/16,1900  litres,Andrea Bacigalupo ,Stefano Righini ,1,NA
TIGERLILY OF CORNWALL for sale,"€1,200,000",TIGERLILY OF CORNWALL,Sail Yacht,NA,Cochrane ,33  metres,25.24  metres,6.5  metres,3  metres,135,135,1989,Monohull,NA,LR,10  kn,8  kn,12500  litres,2800  nm,@ 8  kn,Perkins Sabre 225 TI ,NA,Steel,"Steel,Teak",Teak,8,4,NA,NA,NA,Motorsailer ,NA,NA,NA,9000  litres,Laurent Giles ,Laurent Giles ,NA,NA
APOGEE for sale,"$24,950,000",APOGEE,Motor Yacht,NA,Codecasa ,62.5  metres,53.26  metres,11.2  metres,3.8  metres,1126,890,2003,Full Displacement,4,LR,17  kn,11.5  kn,160000  litres,6000  nm,@ 11  kn,Caterpillar ,4520hp ,Steel,Aluminium,Teak,16,7,1,4,2,Displacement ,Franco & Anna Della Role ,NA,C.108,30000  litres,Codecasa ,Codecasa ,NA,NA
ISLAND FLING for sale,"€1,900,000",ISLAND FLING,Sail Yacht,80,Nautor's Swan ,24.9  metres,21.12  metres,5.86  metres,3.9  metres,NA,37,2001,Monohull,NA,NA,10.9  kn,8.6  kn,1820  litres,1600  nm,@ 8.6  kn,Yanmar ,240hp ,GRP,GRP,Teak,6,3,1,1,1,NA,Nautor's Swan ,2012-08-01,80/006,1200  litres,German Frers ,German Frers ,NA,NA
ANNA J for sale,"€5,900,000",ANNA J,Motor Yacht,NA,Oceanco ,49.38  metres,NA,8.92  metres,2.29  metres,457,285,1995,Semi Displacement,3,AB,23  kn,17  kn,51466  litres,3000  nm,@ 12  kn,MTU ,6090hp ,Aluminium,Aluminium,Teak,12,5,1,1,2,Semi-displacement ,"Struik & Hamerslag, The A Group ",2019-01-01,9144,21717  litres,Oceanco ,Richard Hein ,1,NA
ALTHEA for sale,"€1,500,000",ALTHEA,Sail Yacht,NA,Kanelos ,37.49  metres,23.7  metres,7.63  metres,3.23  metres,148.61,180,1993,NA,NA,AB/HR,12  kn,11  kn,22000  litres,1700  nm,@ 11  kn,MAN ,710hp ,Steel,Aluminium,Teak,12,NA,NA,NA,NA,"Motorsailer, Monohull ",Winch Design ,NA,26-15,10000  litres,Winch Design ,Nicholas Moschonas ,NA,NA
INMOCEAN for sale,"€7,500,000",INMOCEAN,Sail Yacht,NA,Fitzroy Yachts ,41.15  metres,30  metres,8.35  metres,4.3  metres,144,168,2008,NA,NA,LR,12.5  kn,11  kn,15100  litres,NA,NA,Caterpillar ,600hp ,Aluminium,Aluminium,Teak,6,3,1,NA,2,NA,Adam Lay Studio ,2014-01-01,FY09,4900  litres,Dubois Naval Architects ,Dubois Naval Architects ,NA,NA
INDIGO for sale,"$2,980,000",INDIGO,Motor Yacht,NA,CBI-Navi ,32  metres,29.5  metres,7.62  metres,2.74  metres,224,250,1998,Full Displacement,3,LMC,12  kn,11  kn,33312  litres,4000  nm,@ 12  kn,MAN ,NA,Steel,Aluminium,Teak,7,3,1,1,1,Displacement ,Luca Dini ,NA,30,4542  litres,CLM Engineering ,Luca Dini ,NA,NA
ALTA MAREA for sale,"€1,750,000",ALTA MAREA,Sail Yacht,2900S,Jongert ,29.41  metres,24.41  metres,6.71  metres,4.08  metres,99,139,1991,Monohull,NA,NA,10  kn,9.5  kn,5000  litres,2500  nm,@ 9.5  kn,MTU ,320hp ,Steel,Aluminium,Teak,6,NA,NA,NA,NA,NA,Peter Sijm ,"1996-01-01,2004-01-01",NA,3000  litres,Jongert ,Jongert ,NA,NA
INACE 95 for sale,"$6,995,000",INACE 95,Motor Yacht,95,Inace ,28.96  metres,NA,7.14  metres,2.34  metres,NA,NA,NA,Full Displacement,3,NA,12  kn,10  kn,47318  litres,6500  nm,@ 10  kn,Caterpillar ,1100hp ,Steel,Steel,Teak,12,6,NA,NA,NA,"Displacement, Expedition Yacht ",Michael Kirschstein ,NA,NA,8176  litres,Inace ,Michael Kirschstein ,NA,NA
ECLIPSE for sale,"$7,600,000",ECLIPSE,Motor Yacht,NA,Feadship ,43  metres,38.8  metres,8.41  metres,3.1  metres,438,429,1993,Full Displacement,3,LR,14  kn,12  kn,54360  litres,3700  nm,@ 11.5  kn,Caterpillar ,1550hp ,Steel,Aluminium,Teak,12,6,1,2,3,Displacement ,Terence Disdale ,NA,646,18230  litres,Frits De Voogt ,"Frits De Voogt, Luiz De Basto ",NA,NA
SUN for sale,"€6,850,000",SUN,Motor Yacht,115,Arcadia Yachts ,35.5  metres,NA,7.33  metres,3.59  metres,266,NA,2012,Semi Displacement,3,NA,17  kn,10  kn,15000  litres,1050  nm,@ 14  kn,MAN ,2450hp ,GRP,GRP,Teak,12,6,1,3,2,Semi-displacement ,Arcadia Yachts ,NA,115/01,4000  litres,Francesco Guida ,Arcadia Yachts ,NA,NA
HYPERION for sale,"€12,950,000",HYPERION,Sail Yacht,NA,Royal Huisman ,47.42  metres,38.8  metres,9.56  metres,4.8  metres,305,285,1998,Monohull,NA,LR,14  kn,10  kn,22500  litres,5000  nm,@ 10  kn,MTU ,1085hp ,Aluminium,Aluminium,Teak,6,3,1,1,1,Monohull ,Pieter Beeldsnijder ,2015-04-01,368,12600  litres,German Frers ,Pieter Beeldsnijder ,NA,NA
HUMMINGBIRD for sale,"€2,450,000",HUMMINGBIRD,Motor Yacht,3000 Fly 2,Couach Yachts ,30.4  metres,26  metres,6.3  metres,1.8  metres,119,80,2007,Deep V / Planing,2,NA,32  kn,25  kn,20000  litres,800  nm,@ 25  kn,MTU ,4800hp ,GRP,GRP,Teak,7,4,1,1,1,NA,NA,NA,3001 FLY,2000  litres,NA,NA,NA,NA
A.B. NORMAL for sale,"$6,845,000",A.B. NORMAL,Motor Yacht,Explorer 95,Inace ,30.12  metres,27.1  metres,7.19  metres,2.34  metres,188,195,2006,Full Displacement,3,AB,13  kn,10  kn,47317  litres,4500  nm,@ 10  kn,Caterpillar ,880hp ,Steel,Aluminium,"Steel,Teak",6,NA,NA,NA,NA,"Displacement, Expedition Yacht ",Michael Kirschstein ,2009-12-01,560,9000  litres,Inace ,Michael Kirschstein ,NA,NA
46M FRERS TRIMARAN for sale,"$26,500,000",46M FRERS TRIMARAN,Motor Yacht,NA,McConaghy Boats ,46.75  metres,NA,NA,NA,NA,NA,2022,Trimaran,NA,NA,29  kn,12  kn,NA,4000  nm,@ 12  kn,NA,NA,NA,NA,NA,8,4,NA,NA,NA,Multihull ,Design Unlimited ,NA,NA,NA,NA,German Frers ,NA,NA
HEARTBEAT for sale,"$2,850,000",HEARTBEAT,Motor Yacht,NA,Hargrave Custom Yachts ,27.43  metres,NA,6.4  metres,1.74  metres,142,NA,2009,Semi Displacement,3,NA,21  kn,18  kn,11356  litres,NA,NA,Caterpillar ,3100hp ,GRP,GRP,Teak,10,4,1,NA,2,Semi-displacement ,Yacht Interiors by Shelley ,NA,660,2271  litres,J.B. Hargrave Yacht Design ,J.B. Hargrave Yacht Design ,1,NA
RELENTLESS for sale,"$5,900,000",RELENTLESS,Motor Yacht,Kingship Expedition 110,Kingship Marine ,33.53  metres,31  metres,7.54  metres,2.7  metres,280,268,2006,Full Displacement,3,LR,12  kn,9.8  kn,38400  litres,4330  nm,@ 9  kn,Caterpillar ,1100hp ,Steel,Aluminium,Teak,10,5,1,2,2,NA,NA,2020-01-01,KS001,8557  litres,NA,NA,NA,NA
NEVER ENOUGH for sale,"$10,900,000",NEVER ENOUGH,Motor Yacht,NA,Feadship ,42.7  metres,NA,8.31  metres,2.59  metres,398,310,1992,Full Displacement,3,NA,14  kn,12  kn,49210  litres,3000  nm,@ 13  kn,Detroit Diesel ,2900hp ,Aluminium,Aluminium,Teak,10,5,1,2,2,NA,"Marybeth Crowley, Paola D. Smith ","2008-01-01,2010-01-01,2006-01-01",645,1400  litres,Frits De Voogt ,Espinosa Yacht Design ,NA,NA
REE for sale,"€1,800,000",REE,Sail Yacht,112,Valdettaro ,34.14  metres,28.32  metres,7.89  metres,2.8  metres,172,160,1995,Monohull,NA,BV,12  kn,9  kn,6400  litres,1500  nm,@ 12  kn,MTU ,425hp ,Steel,Aluminium,Teak,12,5,1,NA,4,Motorsailer ,Studio Garroni ,"1999-01-01,2001-01-01",NA,3580  litres,Laurent Giles ,Laurent Giles ,NA,NA
"NAKUPENDA for sale","€2,600,000","NAKUPENDA",Sail Yacht,V80,Vismara Marine ,25  metres,NA,5.8  metres,2.8  metres,40.22,33,2014,Monohull,NA,NA,16  kn,10  kn,22000  litres,NA,NA,Yanmar ,240hp ,"Carbon,Epoxy","Carbon,Epoxy",Teak,11,4,1,2,1,Monohull ,Alessandro Vismara ,NA,NA,1100  litres,Alessandro Vismara ,Alessandro Vismara ,NA,NA
QUEEN GRACE for sale,"$3,980,000",QUEEN GRACE,Motor Yacht,105,Horizon ,32  metres,NA,7.16  metres,2.18  metres,220,NA,2008,Semi Displacement,3,NV,24  kn,20  kn,15897  litres,1500  nm,@ 12  kn,MTU ,3000hp ,GRP,GRP,Teak,8,4,1,NA,2,Semi-displacement ,Horizon ,2014-01-01,105-320,NA,Horizon ,Horizon ,1,NA
MURPHY'S LAW for sale,"$5,995,000",MURPHY'S LAW,Motor Yacht,Delta 124,Delta Marine ,37.8  metres,33.83  metres,7.86  metres,1.83  metres,288,186,1998,Semi Displacement,3,NA,20  kn,16  kn,37850  litres,2500  nm,@ 12  kn,Detroit Diesel ,2900hp ,GRP,GRP,"GRP,Teak",8,4,1,1,2,Semi-displacement ,"Claude-Andre Piquette, A La Mer ",NA,110-007,3785  litres,Delta Design ,Delta Design ,NA,NA
PROJECT STARLIGHT for sale,POA,PROJECT STARLIGHT,Motor Yacht,NA,Custom ,86  metres,NA,13.4  metres,3.5  metres,2400,1500,NA,Fast Displacement,4,LR,19  kn,16  kn,NA,6000  nm,@ 14  kn,NA,NA,Steel,"Aluminium,Steel",NA,14,7,NA,NA,NA,Displacement ,Darnet Design ,NA,NA,NA,NA,Darnet Design ,NA,NA
PROJECT SAPPHIRE for sale,POA,PROJECT SAPPHIRE,Motor Yacht,NA,Custom ,43  metres,36.1  metres,8.3  metres,1.8  metres,NA,230,NA,NA,NA,NA,36  kn,25  kn,45000  litres,NA,NA,MTU ,NA,Aluminium,Aluminium,Teak,10,5,1,NA,NA,NA,NA,NA,NA,4000  litres,NA,NA,4,NA
PROJECT PHOENIX for sale,"€29,500,000",PROJECT PHOENIX,Motor Yacht,NA,ICT Yachts ,57.5  metres,48.39  metres,9.4  metres,4.47  metres,850,1080,2023,Full Displacement,3,BV,13.5  kn,12.5  kn,110000  litres,11000  nm,@ 10  kn,Caterpillar ,1700hp ,Steel,"Aluminium,Steel",Teak,12,6,1,2,2,NA,Omega ,"2013-01-01,2006-01-01,2003-01-01",790,24000  litres,Van Oosanen & Associates ,Omega Architects ,1,NA
MR MOUSE for sale,"€7,900,000",MR MOUSE,Motor Yacht,NA,Avangard ,42  metres,33.18  metres,7.73  metres,2.3  metres,298,280,2012,Full Displacement,3,BV | RINA,14  kn,12  kn,62800  litres,3500  nm,@ 11  kn,MTU ,4000hp ,Steel,Steel,Teak,10,5,1,2,2,Displacement ,Joachim Kinder ,NA,-,7900  litres,Roberto Starkel ,Roberto Starkel ,NA,NA
PROJECT MARLIN for sale,"€41,000,000",PROJECT MARLIN,Motor Yacht,NA,Royal Huisman ,49.25  metres,49.25  metres,9.21  metres,1.93  metres,499,NA,2020,Full Displacement,3,LR,17  kn,14  kn,NA,4323  nm,@ 12  kn,Caterpillar ,1700hp ,Aluminium,Aluminium,Teak,10,5,1,3,1,Displacement ,Stirling & Co ,NA,NA,NA,German Frers ,German Frers ,NA,NA
SPECTRAL 50 for sale,POA,SPECTRAL 50,Motor Yacht,NA,"Balk Shipyard, Bloemsma ",49.99  metres,NA,10.03  metres,NA,490,NA,NA,NA,NA,NA,16.1  kn,13  kn,NA,5000  nm,@ 12  kn,NA,NA,Stainless Steel,NA,NA,12,5,NA,NA,NA,NA,Guido De Groot ,NA,NA,NA,Balk Shipyard ,Christopher Seymour Designs ,NA,NA
PRINCESS 78 for sale,"€2,250,000",PRINCESS 78,Motor Yacht,78,Princess ,24.1  metres,NA,5.72  metres,1.68  metres,NA,NA,2011,Deep V / Planing,2,NA,37  kn,34  kn,5680  litres,NA,NA,Caterpillar ,3446hp ,GRP,GRP,Teak,8,4,1,NA,2,Planing Fast Yacht ,Princess ,NA,NA,1387  litres,Bernard Olesinski ,Bernard Olesinski ,1,NA
ZEON for sale,"€33,500,000",ZEON,Motor Yacht,NA,Latitude Yachts ,52  metres,NA,9.45  metres,2.13  metres,490,NA,NA,NA,NA,NA,30  kn,NA,50000  litres,2550  nm,@ 12  kn,NA,NA,NA,NA,NA,12,5,1,2,2,NA,NA,NA,NA,6900  litres,NA,Latitude Yachts ,NA,NA
SOLSTICE for sale,SOLD,SOLSTICE,Motor Yacht,95 RPH,Azimut ,28.62  metres,NA,7.07  metres,2.05  metres,168,111,2017,Deep V / Planing,2,NA,28  kn,22  kn,12000  litres,350  nm,@ 22  kn,MTU ,4400hp ,GRP,GRP,Teak,12,5,1,2,2,Semi-displacement ,Carlo Galeazzi ,NA,95RPH/21,2000  litres,Azimut ,Stefano Righini ,NA,NA
GRAND ILLUSION for sale,"$11,500,000",GRAND ILLUSION,Motor Yacht,NA,Palmer Johnson ,44.2  metres,36.5  metres,8.03  metres,2.36  metres,349,190,1994,Semi Displacement,3,NA,16  kn,13  kn,49922  litres,3000  nm,@ 12  kn,Detroit Diesel ,2900hp ,Aluminium,Aluminium,Teak,11,5,NA,NA,NA,Semi-displacement ,Demitri Christian ,"1999-01-01,2002-01-01,2017-01-01",PJ 212,9842  litres,Palmer Johnson ,Tom Fexas ,NA,NA
GIAVA for sale,"€1,050,000",GIAVA,Motor Yacht,Castagnola 30,CNT Castagnola ,30  metres,NA,7.6  metres,2.3  metres,NA,111,2001,Deep V / Planing,3,RINA,20  kn,17  kn,10000  litres,NA,NA,Caterpillar ,2900hp ,Mahogany,Marine Ply,Teak,9,5,1,NA,2,Planing Fast Yacht ,NA,NA,NA,3000  litres,Giovanni Castagnola ,Stefano Righini ,1,NA
PHATSARA for sale,"$3,950,000",PHATSARA,Motor Yacht,NA,Silkline International ,37  metres,NA,8.2  metres,1.68  metres,NA,NA,2012,Catamaran,3,NA,22  kn,20  kn,19000  litres,NA,NA,Caterpillar ,3600hp ,GRP,GRP,Teak,10,5,1,2,2,NA,NA,NA,NA,4000  litres,Incat Crowther ,Incat Crowther ,NA,NA
DESTINY for sale,"€10,000,000",DESTINY,Motor Yacht,NA,Orucoglu ,42.2  metres,38.6  metres,7.5  metres,1.9  metres,180,250.4,2017,Semi Displacement,2,BV,21  kn,16  kn,32000  litres,1800  nm,@ 16  kn,Caterpillar ,3900hp ,Steel,Steel,Teak,14,7,1,5,NA,Semi-displacement ,Serdar Basturk ,NA,NA,15000  litres,Ertan Nal ,Ertan Nal ,1,NA
SOARING for sale,"€88,000,000",SOARING,Motor Yacht,NA,Abeking & Rasmussen ,68.2  metres,NA,11.6  metres,NA,1450,NA,2020,NA,3,LR,16  kn,14  kn,NA,NA,NA,MTU ,4000hp ,Steel,Aluminium,NA,12,6,NA,NA,NA,NA,NA,NA,6506,NA,NA,NA,NA,NA
PEARL for sale,"€11,500,000",PEARL,Motor Yacht,NA,Kingship Marine ,43.9  metres,NA,8.95  metres,2.7  metres,499,450,2024,Full Displacement,3,RINA,16  kn,13  kn,55000  litres,3500  nm,@ 13  kn,Caterpillar ,2900hp ,Steel,Aluminium,Teak,10,5,1,2,2,NA,NA,NA,NA,20000  litres,NA,NA,NA,NA
MEIRA for sale,"€12,500,000",MEIRA,Sail Yacht,NA,Neta Marine ,54.5  metres,41.45  metres,9.92  metres,4.15  metres,497,550,2018,Gulet,3,RINA,12  kn,10  kn,23000  litres,3900  nm,@ 10  kn,Mitsubishi ,2080hp ,Steel,Steel,Teak,12,6,1,3,2,Motorsailer ,Evan K. Marshall ,NA,NA,10000  litres,Fuat Turan ,Evan K. Marshall ,NA,NA
VICTORY for sale,"$2,995,000",VICTORY,Motor Yacht,80,Hatteras ,24.38  metres,20.97  metres,6.48  metres,1.63  metres,127,86,2008,Deep V / Planing,2,NA,24  kn,21  kn,10819  litres,NA,NA,Caterpillar ,3200hp ,GRP,GRP,GRP,8,4,1,2,1,Planing Fast Yacht ,Hatteras ,NA,GS630,1234  litres,Hatteras ,Hatteras ,NA,NA
MCP RED PEARL for sale,"€2,420,000",MCP RED PEARL,Motor Yacht,Europa Explorer 100,MCP Yachts ,30.48  metres,25  metres,6.78  metres,2.03  metres,165,107,2010,Semi Displacement,3,LR,22  kn,18  kn,21570  litres,3500  nm,@ 10  kn,Caterpillar ,3304hp ,Aluminium,Aluminium,"Aluminium,Teak",11,5,NA,NA,NA,Semi-displacement ,Norris ,NA,81,4500  litres,MCP Yachts ,Manoel Chaves ,NA,NA
THENDARA for sale,"€2,250,000",THENDARA,Sail Yacht,NA,Stephen & Sons ,36.5  metres,22.8  metres,6.09  metres,3.9  metres,87,135,1936,Monohull,NA,NA,10  kn,9  kn,3200  litres,1600  nm,@ 9  kn,Volvo Penta ,238hp ,"Steel Frames,Teak",Teak,Teak,6,3,1,1,1,Classic Yacht ,Edwin Meayers ,"1991-01-01,1994-01-01,1999-01-01",555,3000  litres,Alfred Mylne ,Alan Boswell ,NA,NA
TECHNOMAR 100 for sale,"€2,200,000",TECHNOMAR 100,Motor Yacht,NA,Tecnomar - The Italian Sea Group ,30.48  metres,NA,7.54  metres,3.45  metres,156,NA,2009,Deep V / Planing,2,NA,28  kn,23  kn,10000  litres,NA,NA,MTU ,4000hp ,NA,NA,NA,12,5,1,2,2,Planing Fast Yacht ,NA,NA,NA,3000  litres,Tecnomar - The Italian Sea Group ,Tecnomar - The Italian Sea Group ,NA,NA
MAORI M125 for sale,"€13,800,000",MAORI M125,Motor Yacht,Maori 125,Maori Yacht ,38.2  metres,NA,10.6  metres,2.35  metres,367,230,2021,Semi Displacement,3,RINA,18  kn,15  kn,38000  litres,4200  nm,@ 10.5  kn,MAN ,3600hp ,Composite,Composite,Teak,10,5,1,NA,NA,NA,NA,NA,125/01,5000  litres,NA,NA,4,NA
OTAM SD35 for sale,"€13,600,000",OTAM SD35,Motor Yacht,SD 35,Otam ,35.3  metres,30.2  metres,7.8  metres,2.1  metres,295,165,NA,Semi Displacement,3,RINA,18  kn,13.5  kn,23000  litres,2000  nm,@ 11  kn,Caterpillar ,3800hp ,Aluminium,Aluminium,Teak,10,5,1,2,2,Semi-displacement ,NA,NA,NA,3000  litres,Umberto Tagliavini ,NA,NA,NA
SINDONEMO for sale,"€2,250,000",SINDONEMO,Sail Yacht,NA,Yachting Developments ,30.6  metres,28.35  metres,6.4  metres,2.7  metres,NA,55,2000,Monohull,NA,RINA,12  kn,10  kn,1800  litres,2500  nm,@ 10  kn,Yanmar ,300hp ,GRP,GRP,Teak,6,3,1,2,NA,Monohull ,Jussi Mannerberg ,2004-01-01,NA,1500  litres,Jussi Mannerberg ,Jussi Mannerberg ,NA,NA
LUXI 95 for sale,"€7,000,000",LUXI 95,Motor Yacht,Luxi 95,Cantiere Savona ,28.95  metres,NA,7  metres,1.35  metres,NA,NA,NA,Deep V / Planing,2,NA,28  kn,24  kn,12000  litres,NA,NA,NA,NA,NA,NA,NA,10,5,NA,NA,NA,Planing Fast Yacht ,NA,NA,NA,2000  litres,NA,NA,NA,NA
O'PATI for sale,"€7,100,000",O'PATI,Motor Yacht,NA,Golden Yachts ,39.5  metres,NA,7.2  metres,1.25  metres,243,NA,2011,Deep V / Planing,2,ABS,32  kn,24  kn,NA,800  nm,@ 24  kn,MTU ,6000hp ,Aluminium,Aluminium,Teak,10,5,1,2,2,"Sports/Open Motor Yacht, Planing Fast Yacht ",NA,NA,NA,NA,Hydro Tec ,NA,NA,NA
TAMTEEN for sale,"$4,200,000",TAMTEEN,Motor Yacht,Americana 38M,Trident ,38.71  metres,32  metres,7.32  metres,1.83  metres,265,136,1998,Semi Displacement,3,AB,29  kn,22  kn,36336  litres,1800  nm,@ 12  kn,MTU ,6080hp ,GRP,GRP,"GRP,Teak",8,NA,NA,NA,NA,NA,NA,NA,TM38,6358  litres,"Baglietto, Francesco Paszkowski Design, Melody Savio, Trident ",Wesley Carr ,NA,NA
LUC-AN for sale,"€690,000",LUC-AN,Motor Yacht,NA,Baglietto ,30  metres,NA,6.5  metres,2.5  metres,156,95,1989,Deep V / Planing,2,AB,32  kn,28  kn,23000  litres,1000  nm,NA,MTU ,3840hp ,Aluminium,Aluminium,Teak,8,4,NA,NA,NA,NA,NA,NA,10119,4500  litres,Baglietto ,Baglietto ,NA,NA
SILVER WIND for sale,"€14,500,000",SILVER WIND,Motor Yacht,140,ISA ,43.63  metres,36.49  metres,8.3  metres,1.51  metres,298,225,2014,Deep V / Planing,2,RINA,32  kn,26  kn,31000  litres,540  nm,@ 26  kn,MTU ,9226hp ,GRP,GRP,Teak,11,5,1,2,1,Planing Fast Yacht ,Nuvolari Lenard ,2017-01-01,140.1,6900  litres,ISA ,Andrea Vallicelli ,1,NA
NORTHERN SUN for sale,"$15,000,000",NORTHERN SUN,Motor Yacht,NA,Narasaki ,50.9  metres,43  metres,9  metres,3.8  metres,703,930,1976,Full Displacement,4,RINA,13  kn,10.5  kn,140000  litres,NA,NA,Yanmar ,1800hp ,Steel,"Aluminium,Steel","Steel,Teak",12,6,1,2,3,"Displacement, Expedition Yacht, Classic Yacht ",HYS Yachts ,2007-01-01,S-895,45000  litres,Narasaki Zosen K.K. ,HYS Yachts ,NA,NA
CAPE HAWK 690 for sale,"€23,500,000",CAPE HAWK 690,Motor Yacht,NA,Hawk Yachts ,47.45  metres,46  metres,9  metres,2.8  metres,688,650,NA,NA,NA,NA,15.5  kn,11  kn,NA,6000  nm,@ 12  kn,Caterpillar ,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laurent Giles ,NA,NA
BLUE EYES for sale,"$1,795,000",BLUE EYES,Motor Yacht,NA,Alaskan ,23.16  metres,NA,5.79  metres,1.45  metres,NA,NA,2008,NA,NA,NA,NA,12  kn,8895.71  litres,NA,NA,Caterpillar ,1622hp ,GRP,NA,NA,9,4,NA,NA,NA,NA,Sylvia Bolton ,2018-01-01,NA,1987.34  litres,NA,NA,NA,NA
BLUE MAGIC for sale,"€3,300,000",BLUE MAGIC,Motor Yacht,NA,Baglietto ,32.5  metres,NA,7.4  metres,2.1  metres,NA,200,2001,Full Displacement,2,RINA,13.5  kn,11.5  kn,50000  litres,3000  nm,@ 12  kn,Caterpillar ,NA,Steel,Aluminium,Teak,10,NA,NA,NA,NA,NA,Elisabetta Ruggiero ,NA,10175,12000  litres,Baglietto ,Vincenzo Ruggiero ,NA,NA
SEA VOYAGER 223 for sale,POA,SEA VOYAGER 223,Sail Yacht,Sea Voyager 223,Magic Yachts ,68  metres,66  metres,28.5  metres,5.9  metres,NA,450,NA,Catamaran,3,NA,22  kn,18  kn,148000  litres,NA,NA,NA,2200hp ,Aluminium,GRP,"GRP,Teak",12,6,1,5,NA,Multihull ,NA,NA,NA,28000  litres,Duchatelet Design ,Jérôme Vollet ,NA,NA
BEYOND 82M for sale,POA,BEYOND 82M,Motor Yacht,NA,Custom ,82  metres,NA,13.41  metres,4.27  metres,NA,NA,NA,Full Displacement,4,NA,NA,13  kn,NA,5000  nm,@ 12  kn,NA,NA,Steel,Aluminium,Teak,12,6,NA,NA,NA,Displacement ,Theodoros Fotiadis ,NA,NA,NA,NA,"Christopher Seymour Designs, Carl Esch Design ",NA,NA
SEA VOYAGER 143 for sale,"€19,500,000",SEA VOYAGER 143,Sail Yacht,NA,Custom ,43.58  metres,42.5  metres,18.88  metres,5.1  metres,455,300,NA,Catamaran,NA,NA,18  kn,15  kn,33200  litres,NA,NA,NA,NA,Aluminium,GRP,"GRP,Teak",12,6,NA,NA,NA,Multihull ,NA,NA,NA,22000  litres,NA,Jérôme Vollet ,NA,NA
BLACKCAT 50 for sale,POA,BLACKCAT 50,Sail Yacht,NA,Baltic Yachts ,50.44  metres,NA,18.5  metres,4.5  metres,NA,193.5,NA,Catamaran,NA,DNV,NA,16  kn,28000  litres,NA,NA,Caterpillar ,1300hp ,Carbon,Carbon,Teak,10,5,1,2,1,Multihull ,"M2 Atelier, Malcolm McKeon Yacht Design ",NA,NA,8000  litres,Malcolm McKeon Yacht Design ,Malcolm McKeon Yacht Design ,1,NA
BEIJA FLORE for sale,"€2,000,000",BEIJA FLORE,Motor Yacht,28M,Eurocraft ,28  metres,23.06  metres,6.5  metres,0.95  metres,140,68,2004,Deep V / Planing,2,BV,26  kn,20  kn,10000  litres,500  nm,@ 20  kn,Caterpillar ,2800hp ,GRP,GRP,Teak,10,5,1,NA,3,Planing Fast Yacht ,NA,NA,NA,2500  litres,Eurocraft ,Paolo Ponsicchi ,1,NA
