title,price,Name:,Yacht Type:,"Series, Model, Class:",Builder:,Length Overall:,Length at Waterline:,Beam:,Max Draught:,Gross Tonnage:,Displacement Tonnage:,Year of Build:,Hull Type:,Number of Decks:,Classification:,Max Speed:,Cruising Speed:,Fuel Capacity:,Range:,V1,Engine Make:,Total power:,Hull:,Superstructure:,Deck:,Guests:,Passenger Rooms:,Master Rooms:,Double Rooms: ,Twin Rooms:,Yacht Subtype:,Interior Designer:,Refits:,Hull Number:,Water Capacity:,Naval Architect:,Exterior Designer:,VIP Rooms:,Build time:
O'PTASIA for sale,"€89,999,000",O'PTASIA,Motor Yacht,NA,Golden Yachts ,84.73  metres,NA,13.8  metres,3.6  metres,2342,NA,2018,Full Displacement,4,BV,16  kn,12  kn,NA,NA,NA,Caterpillar ,6730hp ,Steel,Aluminium,Teak,22,11,1,6,2,Displacement ,Studio Vafiadis ,NA,NA,NA,NA,Studio Vafiadis ,1,NA
TRANQUILITY for sale,"€149,900,000",TRANQUILITY,Motor Yacht,NA,Oceanco ,91.5  metres,NA,14.6  metres,NA,2999,NA,2014,Full Displacement,4,"LR (+100A1, SSC) | PYC",19.5  kn,16  kn,271000  litres,NA,NA,MTU ,9656hp ,Steel,Aluminium,Teak,26,9,1,4,NA,"Displacement, Expedition Yacht ",Winch Design ,NA,Y709,NA,"Oceanco, BMT Nigel Gee, Azure Yacht Design and Naval Architecture ",Oceanco ,4,NA
BURKUT for sale,"€18,750,000",BURKUT,Motor Yacht,53,Baglietto ,53  metres,NA,10.2  metres,2.95  metres,733,580,2009,Full Displacement,3,LR,17.5  kn,16  kn,85000  litres,5000  nm,@ 10  kn,Caterpillar ,5364hp ,Steel,Aluminium,Teak,10,5,1,4,NA,NA,NA,2011-01-01,10206,23000  litres,NA,NA,NA,NA
SPORTADVENTURE 45 for sale,"€18,000,000",SPORTADVENTURE 45,Motor Yacht,Sportadventure 45,Versilcraft ,45.5  metres,NA,9.2  metres,2.4  metres,499,NA,2022,Full Displacement,3,RINA,15  kn,14  kn,NA,6000  nm,@ 11  kn,Caterpillar ,3200hp ,Steel,Aluminium,Teak,10,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGORA III for sale,"€14,750,000",AGORA III,Motor Yacht,Alloy 43,ISA ,43  metres,37.5  metres,8.1  metres,2.3  metres,330,260,2019,Semi Displacement,2,ABS,19  kn,18  kn,48000  litres,3800  nm,@ 12  kn,MTU ,3840hp ,Aluminium,Aluminium,Teak,10,5,1,2,2,NA,NA,NA,NA,6000  litres,NA,NA,NA,NA
ADASTRA for sale,"$10,000,000",ADASTRA,Motor Yacht,NA,McConaghy Boats ,42.5  metres,NA,16  metres,1.6  metres,NA,NA,2012,Trimaran,2,NA,23.2  kn,17  kn,30000  litres,10000  nm,@ 10.5  kn,"Yanmar, Caterpillar ","220hp, 1150hp ",GRP,GRP,"GRP,Teak",9,NA,NA,NA,NA,NA,NA,NA,NA,2700  litres,NA,NA,NA,NA
NORFOLK STAR for sale,"€6,950,000",NORFOLK STAR,Sail Yacht,NA,Perini Navi ,37  metres,30.95  metres,7.6  metres,6.5  metres,156,236,1996,Monohull,NA,ABS,12  kn,10  kn,21300  litres,3850  nm,@ 10  kn,Volvo Penta ,600hp ,Steel,Aluminium,Teak,6,3,1,NA,2,Motorsailer ,Perini Navi ,2012-01-01,8804,7100  litres,Perini Navi ,Perini Navi ,NA,NA
PROJECT FOX for sale,"€15,500,000",PROJECT FOX,Motor Yacht,NA,Pendennis ,34.86  metres,33.84  metres,7.69  metres,2.2  metres,295,240,2023,Semi Displacement,3,RINA,16  kn,12  kn,35000  litres,3600  nm,@ 10  kn,Caterpillar ,2030hp ,Steel,Aluminium,Teak,8,4,1,NA,2,Expedition Yacht ,NA,NA,7723,10600  litres,NA,Tansu Yachts ,1,NA
ESTHER 7 for sale,"$7,880,000",ESTHER 7,Motor Yacht,RP110,Horizon ,33.53  metres,NA,7.62  metres,1.83  metres,230,120,2014,Semi Displacement,2,NA,18  kn,15  kn,21000  litres,650  nm,@ 18  kn,Caterpillar ,3600hp ,GRP,GRP,Teak,10,5,1,2,2,Semi-displacement ,Espinosa Yacht Design ,NA,110802,3100  litres,NA,Espinosa Yacht Design ,NA,NA
INVICTUS for sale,"$100,000,000",INVICTUS,Motor Yacht,NA,Delta Marine ,65.53  metres,58.22  metres,13.11  metres,3.9  metres,1945,1426,2013,Full Displacement,4,LR,17.1  kn,16.1  kn,194000  litres,7000  nm,@ 12  kn,"Caterpillar, Caterpillar ",5150hp ,Steel,GRP,Teak,14,7,1,4,2,NA,NA,NA,211-042,53000  litres,NA,NA,NA,NA
